Name,ID
Open Knowledge Sverige,openknowledgesweden
Alingsås kommun,alingsas_k
Region Västra Götaland,vgr_r
Havs- och Vattenmyndigheten,havochvatten
Sveriges meteorologiska och hydrologiska institut,smhi
Svenska kraftnät,svenska_kraftn
Lunds universitet,lund_uh
Ekonomistyrningsverkets datalabb,esv_datalabb
Göteborgs kommun,gbg_k
Region Örebro,orebro_r
LFV,lfv
Kungliga Biblioteket,kb
Sveriges geologiska undersökning,sgu
Umeå kommun,umea_k
Lantmäteriet,lm
Högskolan i Skövde,hs_uh
Sundsvalls kommun,sundsvall_k
Arbetsförmedlingen,arbetsformedlingen
Network open source and data,nosad
Boverket,boverket
Kemikalieinspektionen,kemikalieinspektionen
Universitetskanslersämbetet,universitetskansler
Digg,digg
Botkyrka kommun,botkyrka_k
Helsingborgs kommun,helsingborg_k
Stockholm kommun,sthlm_k
Bolagsverket,bolagsverket
Försäkringskassan,fk
Skolverket,skolverket
Gotland kommun,gotland_k
Region Gotland,gotland_r
Verksamt,verksamt
Göteborgs universitet,gu_uh
Rikspolisstyrelsen,rps
Riksarkivet,riksarkivet
Sydarkivera,sydarkivera
Svenska kyrkan,kyrkan
Uppsala kommun,uppsala_k
Region Blekinge,blekinge_r
Länsstyrelserna,lst
Naturvårdsverket,natur
Statistikmyndigheten,scb
Skatteverket,skatteverket
Gävle kommun,gavle_k
Huddinge kommun,huddinge_k
Jordbruksverket,sjv
Pensionsmyndigheten,pension
Halmstad kommun,halmstad_k
Stockholms stadsbibliotek,sthlm_bib
Elsäkerhetsverket,elverket
Storstockholms brandförsvar,sthlmbrand
Adda,adda
Arbetsmiljöverket,arbetsmiljo
Folkhälsomyndigheten,fohm
Läkemedelsverket,lakemedelsv
Konsumentverket,konsumentverket
MSB,msb
Statens kulturråd,statenskultur
Transportstyrelsen,transports
Lärarförbundet,lararforbundet
Trygghetsrådet,trr
Trafikverket,trafikverket
Simrishamn kommun,simrishamn_k
Södertälje kommun vuxenutbildning,sodertalje_komvux
Försvarsmakten,forsvaret
Tullverket,tullverket
Linnéuniversitetet,lnu_uh
Region Jönköping,jonkoping_r
Storsthlm,storsthlm
Region Uppsala,uppsala_r
Karlstad universitet,kau_uh
Eslövs kommun,eslov_k
Hörby kommun,horby_k
Räddningstjänsten Skånenordväst,rsnv
Riksrevisionen,riksrevisionen
Sjöfartsverket,sjov
Sveriges Television,svt
Finspång kommun,finspang_k
Mjölby kommun,mjolby_k
Norrköping kommun,norrkoping_k
Söderköping kommun,soderkoping_k
Vadstena kommun,vadstena_k
Valdermarsvik kommun,valdermarsvik_k
Västervik kommun,vastervik_k
Enköpings kommun,enkoping_k
Brottsförebyggande rådet,brottsforebyggande
Domstolsverket,domstolsverket
Migrationsverket,migra
Riksantikvarieämbetet,raa
Karolinska Institutet,ki_uh
Stockholms universitet,su_uh
Västtrafik,vtrafik
Centrala studiestödsnämnden,csn
Kronofogden,kronofogden
Tillväxtverket,tillvaxtverket
