WikidataOrg,Organisation,WikidataTalare,TalareString,Title,Start,WikidataSubject,GITHUB,Datum,Agenda,Slides,Url video av presentationen
https://www.wikidata.org/wiki/Q114201362,Addalot,,Carl-Eric Mols,Öppen källkod som bas i den digitala allemansrätten,02:54:50,"Q39162, Q114350971",,2021-06-02,https://www.goto10.se/event/oppen-kallkod-som-en-del-av-den-digitala-allemansratten/,,https://www.youtube-nocookie.com/embed/t5S7fSPgWOc/
https://www.wikidata.org/wiki/Q503162,Alingsås kommun,,Göran Westerlund,Introduktion till öppen programvara,51:30:00,Q39162,,,,,https://www.youtube.com/watch?v=jxxiqFyZhDU
https://www.wikidata.org/wiki/Q503162,Alingsås kommun,,Göran Westerlund,Öppen källkod som bas i den digitala allemansrätten,03:58:00,"Q39162, Q114350971",,2021-06-02,https://www.goto10.se/event/oppen-kallkod-som-en-del-av-den-digitala-allemansratten/,,https://www.youtube-nocookie.com/embed/t5S7fSPgWOc/
https://www.wikidata.org/wiki/Q114219203,Allmänhandling,,Per Hagström,Offentlighetsprincipen,04:50,Q10607870,,,,,
https://www.wikidata.org/wiki/Q3440237,Arbetsförmedlingen,,,Samverkan öppna data inom Offentlig verksamhet,,Q309901,,,,,https://www.youtube.com/watch?v=-agLPUX5i9Q
https://www.wikidata.org/wiki/Q3440237,Arbetsförmedlingen,,"Malin Åkerlund, Rickard Lundstedt",eArkiv med öppen källkod,,"Q39162, Q114351452",,2012-12-07,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod/,,https://www.youtube-nocookie.com/embed/3Rz7a_I0NvA/
https://www.wikidata.org/wiki/Q3440237,Arbetsförmedlingen,,"Ulrika Häggqvist, Jessica Prytz",API-Profil och Playbook,57:20:00,,,2021-10-21,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod-2/,,https://www.youtube-nocookie.com/embed/CpaSiEjjqwU/
https://www.wikidata.org/wiki/Q3440237,Arbetsförmedlingen,https://www.wikidata.org/wiki/Q107388141,Johan Linåker,Så jobbar offentlig sektor open source,38:00:00,Q39162,,2022-04-20,https://www.goto10.se/event/hur-offentlig-sektor-jobbar-med-open-source/,,https://data.jobtechdev.se/videos/nosad-220420-offentlig-sektor-open-source_1920x890.mp4
https://www.wikidata.org/wiki/Q3440237,Arbetsförmedlingen,https://www.wikidata.org/wiki/Q114314849,Erik Lejdemyr,Nationella datastrategin och EU:s dataområden,59:10:00,,,2022-05-03,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod-6/,,https://data.jobtechdev.se/videos/nosad-20220503-datadriven-utveckling-nationella-datastrategin-europeiska-dataomraden_2256x1444.mp4
https://www.wikidata.org/wiki/Q891249,Bolagsverket,,Fredrik Vesström,API-Profil och Playbook,36:15:00,,,2021-10-21,https://www.goto10.se/event/nosad-natverkande-kring-oppna-data-och-oppen-kallkod-2/,,https://www.youtube-nocookie.com/embed/CpaSiEjjqwU/
https://www.wikidata.org/wiki/Q114219511,ChallengeGov,,Angela Young,Hackathons och innovationstävlingar,01:11:00,Q46855,,,,,https://data.jobtechdev.se/videos/nosad-20201208-hackathons-1920x1080.mp4
